inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;0;2;3;120;1.0255059814900003e6;57.294902142000005
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;2;3;120;1.1194561527083325e6;76.65046512599999
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;0;2;3;120;1.2443745673863727e6;87.10106756699999
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;0;2;3;120;1.259790977881995e6;98.347904686
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;2;4;120;490166.94560966664;20.888876226000004
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;0;2;4;120;624326.1298589999;39.682299069
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;0;2;4;120;818432.144803;12.420614761
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;0;2;4;120;906560.3291259995;22.887340082999998
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;2;4;120;443686.9188209995;24.333159326
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;0;2;4;120;600558.3654709999;50.298053004
instances/N100T30/N100T30P1W10SD_DF6.dat;100;30;10;1.75;0;2;4;120;1.0177491592479987e6;80.674698195
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.75;0;2;4;120;1.114157262479999e6;94.184806355
instances/N200T30/N200T30P1W5SD_SF9.dat;200;30;5;1.75;0;2;4;120;1.2395776219279964e6;96.309345366
instances/N200T30/N200T30P1W15DD_DF1.dat;200;30;15;1.75;0;2;4;120;1.2673873208959945e6;98.76631343300001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;3;2;120;494056.26286633284;9.190283004
instances/N50T15/N50T15P1W20SD_SF1.dat;50;15;20;1.75;0;3;2;120;624794.4373249997;27.980823926
instances/N50T30/N50T30P1W5SD_DF3.dat;50;30;5;1.75;0;3;2;120;820970.0520100005;7.078415068999999
instances/N50T30/N50T30P1W10DD_DF10.dat;50;30;10;1.75;0;3;2;120;916441.4323839998;10.077031459
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;3;2;120;443767.9299033326;7.195648932999999
instances/N100T15/N100T15P1W10SD_SF9.dat;100;15;10;1.75;0;3;2;120;601132.0821579985;22.111623307
