inst;NR;NT;NW;capacity;balanced;fixsizerf;freeintervalrf;maxtimerf;bestsol;elapsedtime
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;3;3;120;1.094758353992994e6;97.954666015
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;3;4;120;463936.36553166667;64.37714044699999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;3;4;120;439261.11660066573;39.030215101
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;3;4;120;1.0922252464573318e6;102.476433925
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;4;2;120;463173.2044686666;38.796130375
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;4;2;120;439211.280751333;9.245906193
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;4;2;120;1.0940986731219974e6;93.10449563899999
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;4;3;120;464332.5856140591;60.954695909
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;4;3;120;438792.14753966685;39.99909980900001
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;4;3;120;1.079409480223999e6;92.705780986
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;2.0;1;4;4;120;462055.9186866662;60.881161429
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;2.0;1;4;4;120;438081.3025329981;63.211343674
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;2.0;1;4;4;120;1.080159148264331e6;92.352996063
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;2;2;120;538782.912995;6.78603903
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;2;2;120;482212.1780989999;11.003144706
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;2;2;120;1.1895212180139984e6;46.35697983899999
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;2;3;120;539280.3266150003;23.5350992
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;2;3;120;482336.77774899954;18.011930394
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;2;3;120;1.2017749100759951e6;94.30869198900001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;2;4;120;538822.619162;36.34325278899999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;2;4;120;482463.2659909984;45.867195434
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;2;4;120;1.196897263561999e6;97.99597293600002
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;3;2;120;538934.5536849999;8.723711181999999
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;3;2;120;481348.5689669985;15.143911085
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;3;2;120;1.1925639576499993e6;80.873925728
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;3;3;120;538795.334549;26.449672675
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;3;3;120;482966.3532231961;41.880783379
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;3;3;120;1.1941975503899993e6;92.15858254599999
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;3;4;120;538042.2286530001;34.675951077
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;3;4;120;481715.75052399916;45.379230835
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;3;4;120;1.196263117198999e6;99.47662387399998
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;4;2;120;541382.6695970001;19.500335893
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;4;2;120;482486.7744259991;21.598674029999998
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;4;2;120;1.192648945588999e6;85.422314401
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;4;3;120;537916.194467;29.609601691
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;4;3;120;481926.57081099926;45.747895562
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;4;3;120;1.190047178798999e6;92.895815538
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.5;0;4;4;120;537921.2144899992;44.862238236
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.5;0;4;4;120;480631.27857599873;65.263031485
instances/N100T30/N100T30P1W20DD_SF9.dat;100;30;20;1.5;0;4;4;120;1.187226874999999e6;92.37081814300001
instances/N50T15/N50T15P1W15DD_SF4.dat;50;15;15;1.75;0;2;2;120;492284.71935999993;4.268487358000001
instances/N100T15/N100T15P1W5DD_SF5.dat;100;15;5;1.75;0;2;2;120;444554.63506566477;10.418020052000001
